QOL_Key,Maternal_Leave_Benefits,Access_To_Basic_Drinking_Water_Total,Access_To_Basic_Drinking_Water_Urban,Access_To_Basic_Sanitation_Total,Access_To_Basic_Sanitation_Urban,Access_To_Managed_Drinking_Water_Total,Access_To_Managed_Sanitation_Total,Access_To_Basic_Handwashing_Facilities_Total,Access_To_Basic_Handwashing_Facilities_Urban,Unemployment_Female,Unemployment_Male,Unemployment_Total
65,,80.92466101,91.5808267,51.63089589,67.69860837,,,69.85283043,82.92266464,9.2790002822876,6.58199977874756,7.55000019073486
66,,81.81767312,92.00953919,53.99525073,69.28827512,,,70.04840506,82.92266464,9.9040002822876,6.94600009918213,8.0600004196167
67,,82.70159068,92.43834203,56.38531405,70.89632605,,,70.24471508,82.92266464,8.10400009155273,6.66300010681152,7.21000003814697
68,100.0,83.57565413,92.86723523,58.79885691,72.52276113,,,70.44077974,82.92266464,6.70499992370605,5.74399995803833,6.1100001335144
69,,84.43671954,93.29621877,61.23020925,74.16758038,,,70.63218206,82.92266464,6.38800001144409,5.12799978256226,5.6100001335144
70,100.0,85.27144926,93.72529267,63.65928867,75.8307838,,,73.35761843,84.39074313,5.56400012969971,4.89499998092651,5.15000009536743
71,,86.09794725,94.15445691,66.11190851,77.51237138,,,76.05299916,85.85882162,4.78599977493286,4.27500009536743,4.46999979019165
72,100.0,86.91591354,94.58371151,68.58672819,79.21234312,,,78.71796572,87.32690012,4.27199983596802,4.38199996948242,4.34000015258789
73,,87.72586319,95.01305646,71.08355243,80.93069903,,,81.35312153,88.79497861,3.88199996948242,4.15299987792969,4.05000019073486
74,100.0,88.52735296,95.44249176,73.60086085,82.6674391,,,83.95799441,90.2630571,4.4229998588562,4.56300020217896,4.51000022888184
75,,89.32043532,95.87201741,76.13784121,84.42256334,,,86.53271571,91.7311356,3.86899995803833,4.56899976730347,4.30000019073486
76,100.0,90.10462418,96.30163341,78.69303054,86.19607174,,,89.07706113,93.19921409,3.59899997711182,4.05900001525879,3.88000011444092
77,,90.88029952,96.73133976,81.2661059,87.98796431,,,91.59156142,94.66729258,4.18100023269653,4.54099988937378,4.40000009536743
78,,91.64729028,97.16113646,83.85609129,89.79824104,,,94.0763809,96.13537108,3.34800004959106,3.79800009727478,3.61999988555908
79,,92.41534961,97.58051207,86.462642,91.62690193,,,94.10706813,96.13537108,3.77800011634827,4.60699987411499,4.28000020980835
80,,93.09668937,96.60292525,81.27377788,87.14583541,40.35948897,23.87717464,,,3.90899991989136,3.36800003051758,3.55999994277954
81,,93.71099729,96.89332254,82.07830717,87.59351893,40.5640574,25.87350566,,,3.89000010490417,3.38899993896484,3.5699999332428
