Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Canada,2016,67.6469556724162,16.4550097979977,1.13234865466606,50.4105660284427,49.5894339715573,18.7,0.913336125759693,81.3,1.18279215486163,81.9,79.9,84.0
Canada,2017,67.28747162393,16.8424915594931,1.19968215419992,50.4025621628782,49.5974378371218,18.65,0.931952478221833,81.35,1.26116200732881,81.9,79.9,84.0
Canada,2018,66.8977424466943,17.2320066788651,1.412548033188,50.3915299543153,49.6084700456847,18.589,1.08492803121353,81.411,1.48750598693977,82.0487804878049,80.0,84.2
Canada,2019,66.506203368219,17.6478968899213,1.41501469953534,50.3795163341899,49.6204836658101,18.518,1.0323383832027,81.482,1.50218820550071,82.0487804878049,80.0,84.2
Canada,2020,66.1203862397467,18.1043615051754,1.08959148655862,50.3680248057894,49.6319751942105,18.438,0.656644458992974,81.562,1.18772430444538,82.0487804878049,80.0,84.2
USA,2005,66.8071542766919,12.3117114938844,0.921713167161207,50.6538020129792,49.3461979870208,20.072,0.0733898148736528,79.928,1.13588459113456,77.4878048780488,75.0,80.1
USA,2006,66.8015565301074,12.3809160556302,0.964253917136075,50.6438964558909,49.3561035441091,19.901,0.108670280303657,80.099,1.17796815968651,77.6878048780488,75.2,80.3
USA,2007,66.838223954126,12.4718681790523,0.951055242772428,50.6367847142009,49.3632152857991,19.731,0.0931570901609545,80.269,1.16306776101756,77.9878048780488,75.5,80.6
USA,2008,66.880046517597,12.5951145979011,0.945865287282592,50.6307101023585,49.3692898976415,19.562,0.0856572616332229,80.438,1.15618567133535,78.0390243902439,75.6,80.6
USA,2009,66.8780843406327,12.7626484656842,0.876651298802912,50.6233481370269,49.3766518629731,19.394,0.0141332145804876,80.606,1.08529029428822,78.390243902439,76.0,80.9
USA,2010,66.8134265887699,12.9817726024576,0.829616674709795,50.6131890528633,49.3868109471367,19.228,-0.0300018427486857,80.772,1.03534480069191,78.5414634146342,76.2,81.0
USA,2011,66.7246048062274,13.2502621355322,0.726786704810745,50.5996033795709,49.4003966204291,19.056,-0.17176717755585,80.944,0.93950541093758,78.6414634146341,76.3,81.1
USA,2012,66.6153980358509,13.5614320272468,0.733599941250847,50.5834049276266,49.4165950723734,18.881,-0.188989154899031,81.119,0.94956550837067,78.7414634146342,76.4,81.2
USA,2013,66.4779068738499,13.9050443081105,0.692860276624581,50.5662962856078,49.4337037143922,18.701,-0.265051290084759,81.299,0.914510413562637,78.7414634146342,76.4,81.2
USA,2014,66.3160579782416,14.2676996042196,0.733361519937424,50.5506734728571,49.4493265271429,18.517,-0.255415159548918,81.483,0.95943078191871,78.8414634146341,76.5,81.3
USA,2015,66.1333886980394,14.6428847122761,0.73621730882542,50.5382211684035,49.4617788315964,18.329,-0.284256234098651,81.671,0.966674782180289,78.690243902439,76.3,81.2
USA,2016,65.9429787679709,15.0336787501808,0.724676067451429,50.5293128025686,49.4706871974314,18.138,-0.322855438046257,81.862,0.958268060593122,78.5390243902439,76.1,81.1
USA,2017,65.7221060220984,15.4193658960742,0.63264399508256,50.5233822743544,49.4766177256456,17.942,-0.453841679756109,82.058,0.871785260117191,78.5390243902439,76.1,81.1
USA,2018,65.4833059619314,15.8076540556035,0.526435395564053,50.5200146539124,49.4799853460876,17.744,-0.58325455730801,82.256,0.767437430461766,78.6390243902439,76.2,81.2
USA,2019,65.2410767325889,16.2096061428511,0.455381285963537,50.5184872077992,49.4815127922008,17.541,-0.695262032744607,82.459,0.701867775195684,78.7878048780488,76.3,81.4
USA,2020,64.9973268643096,16.6309257142475,0.350911063312921,50.5182156443601,49.4817843556399,17.336,-0.824661438105005,82.664,0.599210762260319,78.7878048780488,76.3,81.4
Mexico,2005,62.5378190162987,5.62497295533692,1.4158169793862,51.0997125716447,48.9002874283553,23.692,0.11167801180592,76.308,1.82420878524429,75.3,72.575,77.999
Mexico,2006,62.8647218454589,5.71235520648618,1.4562132376675,51.1080129997953,48.8919870002047,23.384,0.147672580663442,76.616,1.8590281344028,75.296,72.532,78.035
Mexico,2007,63.2387235885386,5.81166055277459,1.48606353186843,51.1026554489723,48.8973445510277,23.08,0.17750313761612,76.92,1.88206292256786,75.255,72.447,78.039
Mexico,2008,63.6337486374058,5.91934030464087,1.49536909755127,51.0895438672027,48.9104561327973,22.778,0.17824244769517,77.222,1.88721556631294,75.194,72.342,78.026
