,Birth_Rate_Crude_Per_1000,Death_Rate_Crude_Per_1000,GNI_Per_Capita_USD,Labour_Force_Female_%,Age_First_Marriage_Male,Age_First_Marriage_Female,School_Enrollment_Primary_%Net,School_Enrollment_Secondary_%Net,Total_Deaths,Total_Injuries,Total_Homeless,Total_Affected,Tuberculosis_Death_Rate_per_100000ppl,Total_Alcohol_Consumption_Per_Capita,Physicians_Per_1000ppl,Nurses_Per_1000ppl,Total_Alcohol_Consumption_Per_Capita,Number_Under-five_Deaths,Hospital_Beds_Per_1000ppl,Immunization_HepB3_%OneYearOld,ImmunizationMeasles%Children12To23Months,Adults_Newly_Infected_With_HIV,Adults_And_Children_Living_With_HIV,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr,Population_Growth_%,Access_To_Basic_Drinking_Water_Total,Access_To_Basic_Drinking_Water_Urban,Access_To_Basic_Sanitation_Total,Access_To_Basic_Sanitation_Urban,Unemployment_Female,Unemployment_Male,Unemployment_Total,QOL_Measure,Dev_Measure,HDI_Measure,Complex_Disasters,Drought,Earthquake,Epidemic,Flood,Industrial Accident,Landslide,None,Storm,Wildfire
742,0.8630486641221374,0.2934819317798042,0.0065319763025976,0.4399027130611328,0.13461538461538414,0.016181262135922303,0.5403251621828719,0.11087598508761103,0.0,0.0,0.0,0.0,0.45826645264847515,0.11370558375634521,0.0050717287349659485,0.006078225801264528,0.11370558375634521,0.3594298760534953,0.03448275862068967,0.3764705882352941,0.20833333333333326,0.04444444444444444,0.08870495777944988,0.1620309148298884,0.15942251103482086,0.1644666221822506,0.7514871297812821,0.08267581167509275,0.009767790952960542,0.04010019721803777,0.16275377685809167,0.05508604011811424,0.09743792660005934,0.08700322234156818,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
378,0.7577528625954197,0.6007261060452549,0.007443414856448427,0.29704731178115873,0.1538461538461533,0.1310679611650487,0.7444745094180244,0.156181760598336,0.0,0.0,0.0,0.0,0.43820224719101125,0.7045685279187818,0.016809158093029998,0.033774353103111145,0.7045685279187818,0.10958349777935424,0.16896551724137931,0.9294117647058823,0.9027777777777777,0.0,0.06613159434829864,0.389107032941709,0.3797204512015695,0.3958919608923961,0.7662765823301705,0.36494683273856887,0.6384466234600574,0.4112403332443494,0.21406005432947284,0.11383769473577028,0.1683648234246711,0.1489795918367347,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
623,0.9714933206106869,0.6488517392772712,0.004557192769254139,0.5364529473698774,0.13461538461538414,0.016181262135922303,0.5403251621828719,0.11087598508761103,0.0,0.0,0.0,0.0,0.5987158908507223,0.44365482233502535,0.003374252178773264,0.002772185524174615,0.44365482233502535,0.3867970244845554,0.03448275862068967,0.03529411764705884,0.0,0.09111111111111111,0.08034445280494942,0.03794054766926824,0.03748773908778813,0.03823725666540945,0.8357888341858816,0.02587510303110563,0.037287438129122386,0.02470316835299248,0.021504580408944374,0.03472151512065982,0.08190721139578597,0.06680988184747583,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
456,0.028625954198473247,0.1864235055724417,0.6737049977214037,0.7180075866062161,0.9038461538461533,0.9495145631067963,0.9942223178025366,0.9401935683393385,0.0,0.0,0.0,0.0,0.002207062600321028,1.0,0.4180553542964789,0.5908164118528618,1.0,0.0010940864378244167,0.8551724137931033,0.49411764705882355,0.875,0.0,0.03854192793244712,0.9760464098570203,0.9724129475232957,0.9796918970669297,0.21396685808790428,0.98909148346369,0.9770313448115258,0.9961985329196378,0.9959091713084637,0.7152021179105998,0.8304481155406076,0.8313641245972074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
609,0.9811307251908398,0.6991725768321513,0.0036457542154033113,0.5432052597511405,0.13461538461538414,0.016181262135922303,0.5403251621828719,0.11087598508761103,0.0,0.0,0.0,0.0,0.658908507223114,0.44365482233502535,0.003374252178773264,0.002772185524174615,0.44365482233502535,0.38655222888887775,0.03448275862068967,0.7058823529411765,0.055555555555555525,0.09111111111111111,0.08034445280494942,0.023462840651490735,0.023357037763609645,0.02347036467550545,0.8554110868355121,0.02056613882726488,0.03808502707323136,0.024265639779000314,0.014336395867825091,0.03278688524590164,0.08042338510238403,0.06498388829215898,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
895,0.20689408396946563,0.08198243836541708,0.15221023849308826,0.11999482368433823,0.365384615384615,0.5825242718446602,0.8737594858582537,0.7366654875431203,0.0,0.0,0.0,0.0,0.7391653290529695,0.035532994923857864,0.05276667977725796,0.07469464151331741,0.035532994923857864,0.6751712320212623,0.23448275862068962,0.823529411764706,0.8333333333333333,0.7333333333333334,0.42312515675946827,0.6632580870680347,0.6521272682687589,0.6748382604659258,0.25782169170976155,0.8085863634239084,0.8234055776978884,0.7142764678936615,0.7688181568454925,0.42806231544649226,0.4119101790483728,0.4500537056928034,1.0,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,0.24630248091603052,0.1457277946639649,0.0522558104207808,0.1601378465295551,0.5144230769230766,0.44660194174757284,0.7727898080308041,0.7125427888744051,0.0,0.0,0.0,0.0,0.2576243980738363,0.5390862944162437,0.09278158444945869,0.05499990352022537,0.5390862944162437,0.03645955627051412,0.27586206896551724,0.9294117647058823,0.9027777777777777,0.0,0.006772009029345372,0.6107801304963798,0.5864700833742029,0.6357016449563375,0.35123453208515004,0.8097118699030882,0.9081048428032163,0.4740622566696453,0.49107124573588534,0.266367986966704,0.11029775447620935,0.18796992481203004,0.75,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
371,0.7577528625954197,0.6007261060452549,0.00850675983594106,0.32394495233333753,0.1538461538461533,0.1310679611650487,0.7444745094180244,0.156181760598336,0.0,0.0,0.0,0.0,0.41813804173354735,0.7045685279187818,0.016809158093029998,0.033774353103111145,0.7045685279187818,0.11261596566866666,0.16896551724137931,0.9294117647058823,0.9027777777777777,0.0,0.06613159434829864,0.389107032941709,0.3797204512015695,0.3958919608923961,0.7811315785740612,0.36304552000669765,0.6384466234600574,0.41143347247297907,0.21406005432947284,0.103248141737094,0.15530715204273424,0.13630504833512352,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
987,0.7908635496183204,0.5909321175278622,0.00015190642564180462,0.9972831657400563,0.2692307692307683,0.48058252427184445,0.9674979368466147,0.649755500753759,0.0,0.0,0.0,0.0,0.046950240770465494,0.6324873096446701,0.7748566460347364,0.13402970290661398,0.6324873096446701,0.24430600448625395,0.2482758620689655,0.988235294117647,0.9583333333333333,0.2888888888888889,0.16394950254995402,0.7984231538236972,0.7710887690044137,0.8211436363108879,0.31079187904339894,0.8959591681203519,0.8796225789277496,0.8064424208205511,0.8347921277107834,0.3737908563282762,0.2957760411514493,0.34908700322234154,0.5,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
594,0.9906488549618319,0.7506754474839581,0.003341941364119702,0.5502958734974772,0.21153846153846168,0.04854368932038833,0.5403251621828719,0.11087598508761103,0.0,0.0,0.0,0.0,0.6388443017656501,0.44365482233502535,0.003374252178773264,0.002772185524174615,0.44365482233502535,0.3850484845154296,0.03448275862068967,0.7058823529411765,0.16666666666666663,0.09555555555555556,0.08034445280494942,0.010686637345080907,0.010697645904855335,0.010589225100815058,0.8877631285166908,0.015222401809656061,0.038527529295429463,0.02383054650966411,0.007168184541119338,0.030954077996130744,0.0795330893263429,0.06337271750805587,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1418,0.36078244274809157,0.07016210739614998,0.033875132918122434,0.21758190596063187,0.5576923076923075,0.6796116504854368,0.8473290371081096,0.5811529681103134,0.0,0.0,0.0,0.0,0.5786516853932584,0.683248730964467,0.2593412962924629,0.35435734822123455,0.683248730964467,0.3619627610944861,0.2620689655172414,0.7411764705882353,0.7361111111111112,0.08666666666666667,0.010952261516595603,0.635048946590097,0.5695500245218241,0.7044300675969712,0.36981219088264145,0.8318012197858088,0.8214768957267924,0.6592321682505716,0.6659233353926538,0.3639140617045108,0.3060639034523692,0.3533834586466165,1.0,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,0.24630248091603052,0.1457277946639649,0.0522558104207808,0.1601378465295551,0.5144230769230766,0.44660194174757284,0.7727898080308041,0.7125427888744051,0.0,0.0,0.0,0.0,0.2576243980738363,0.5390862944162437,0.09278158444945869,0.05499990352022537,0.5390862944162437,0.03645955627051412,0.27586206896551724,0.9294117647058823,0.9027777777777777,0.0,0.006772009029345372,0.6107801304963798,0.5864700833742029,0.6357016449563375,0.35123453208515004,0.8097118699030882,0.9081048428032163,0.4740622566696453,0.49107124573588534,0.266367986966704,0.11029775447620935,0.18796992481203004,0.75,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
986,0.7908635496183204,0.5909321175278622,0.00015190642564180462,0.9972831657400563,0.2692307692307683,0.48058252427184445,0.9674979368466147,0.649755500753759,0.0,0.0,0.0,0.0,0.046950240770465494,0.6324873096446701,0.7748566460347364,0.13402970290661398,0.6324873096446701,0.24430600448625395,0.2482758620689655,0.988235294117647,0.9583333333333333,0.2888888888888889,0.16394950254995402,0.7984231538236972,0.7710887690044137,0.8211436363108879,0.31079187904339894,0.8959591681203519,0.8796225789277496,0.8064424208205511,0.8347921277107834,0.3737908563282762,0.2957760411514493,0.34908700322234154,0.5,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1380,0.3913883587786259,0.05952380952380948,0.024001215251405136,0.20527876916332444,0.589743846153846,0.638834951456311,0.780684961807573,0.5618022689784208,0.0,0.0,0.0,0.0,0.6187800963081862,0.550253807106599,0.25362783861552163,0.2904620094807458,0.550253807106599,0.3775747251045377,0.25862068965517243,0.8588235294117647,0.9027777777777777,0.015555555555555555,0.0023409413928601286,0.6215264697260701,0.5622241294752333,0.6830485363660099,0.38246288321146893,0.8116262456163797,0.7972297500986136,0.6178307931908051,0.6371371334839478,0.3554627838305672,0.2822237610050451,0.3340494092373792,1.0,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
